"Collision,Comp,DCPD,AB,Make ,Model,Body Style,Model Year"
"42,21,48,43,CHRYSLER,300 4DR,4D,2006"
"45,41,27,61,CHRYSLER,300 4DR,4D,2007"
"43,23,43,83,CHRYSLER,300 4DR,4D,2008"
"73,26,41,43,CHRYSLER,300 4DR,4D,2009"
"63,37,64,65,CHRYSLER,300 4DR,4D,2010"
"99,50,90,187,CHRYSLER,300 4DR,4D,2011"
"74,70,98,95,CHRYSLER,300 4DR,4D,2012"
"102,53,93,106,CHRYSLER,300 4DR,4D,2013"
"115,63,113,80,CHRYSLER,300 4DR,4D,2014"
"126,130,121,179,CHRYSLER,300 4DR,4D,2015"
"138,135,144,78,CHRYSLER,300 4DR,4D,2016"
"148,111,135,251,CHRYSLER,300 4DR,4D,2017"
"240,152,272,123,CHRYSLER,300 4DR,4D,2018"
"234,165,228,123,CHRYSLER,300 4DR,4D,2019"
"156,146,     .,544,CHRYSLER,300 4DR AWD,4D,2014"
"166,189,161,94,CHRYSLER,300 4DR AWD,4D,2016"
"275,137,223,77,CHRYSLER,300 4DR AWD,4D,2017"
"268,168,173,78,CHRYSLER,300 4DR AWD,4D,2018"
"414,134,     .,180,CHRYSLER,300 4DR AWD,4D,2019"
"78,100,78,32,CHRYSLER,300C 4DR AWD,4D,2014"
"98,92,104,385,CHRYSLER,300C/S V8/STR8 4DR,4D,2012"
"82,76,85,64,CHRYSLER,300C/S V8/STR8 4DR,4D,2013"
"34,45,44,76,CHRYSLER,300C/SRT8 4DR,4D,2005"
"29,42,41,72,CHRYSLER,300C/SRT8 4DR,4D,2006"
"     .,63,     .,113,CHRYSLER,300C/SRT8 4DR,4D,2008"
"     .,     .,     .,48,CHRYSLER,300C/SRT8 4DR,4D,2010"
"32,63,24,67,CHRYSLER,ASPEN 4DR 4WD,SUV,2007"
"43,63,22,32,CHRYSLER,ASPEN 4DR 4WD,SUV,2008"
"     .,16,     .,36,CHRYSLER,CROSSFIRE ROADSTER,2D,2005"
"161,106,129,179,CHRYSLER,GRAND CARAVAN,VAN,2021"
"91,129,151,46,CHRYSLER,GRAND CARAVAN,VAN,2022"
"86,83,105,48,CHRYSLER,PACIFICA,VAN,2017"
"78,78,107,107,CHRYSLER,PACIFICA,VAN,2018"
"146,130,136,168,CHRYSLER,PACIFICA,VAN,2019"
"107,72,125,92,CHRYSLER,PACIFICA,VAN,2020"
"153,51,89,134,CHRYSLER,PACIFICA,VAN,2022"
"     .,31,     .,27,CHRYSLER,PACIFICA 4DR 2WD,SUV,2005"
"     .,     .,     .,108,CHRYSLER,PACIFICA 4DR 2WD,SUV,2006"
"     .,     .,     .,76,CHRYSLER,PACIFICA 4DR 2WD,SUV,2007"
"     .,     .,     .,52,CHRYSLER,PACIFICA 4DR AWD,SUV,2005"
"125,127,     .,59,CHRYSLER,PACIFICA AWD,VAN,2021"
"76,89,106,31,CHRYSLER,PACIFICA AWD,VAN,2022"
"143,243,191,97,CHRYSLER,PACIFICA PHEV,VAN,2017"
"149,80,221,540,CHRYSLER,PACIFICA PHEV,VAN,2018"
"15,14,30,45,CHRYSLER,PT CRUISER 4DR,SUV,2005"
"25,12,21,28,CHRYSLER,PT CRUISER 4DR,SUV,2006"
"30,14,33,69,CHRYSLER,PT CRUISER 4DR,SUV,2007"
"38,24,22,77,CHRYSLER,PT CRUISER 4DR,SUV,2008"
"34,19,27,35,CHRYSLER,PT CRUISER 4DR,SUV,2009"
"40,13,44,78,CHRYSLER,PT CRUISER 4DR,SUV,2010"
"31,8,20,34,CHRYSLER,PT CRUISER CONVERTIBLE,SUV,2005"
"28,15,41,135,CHRYSLER,SEBRING 4DR,4D,2005"
"26,9,31,61,CHRYSLER,SEBRING 4DR,4D,2006"
"31,15,44,50,CHRYSLER,SEBRING 4DR,4D,2007"
"36,13,43,40,CHRYSLER,SEBRING 4DR,4D,2008"
"40,26,35,220,CHRYSLER,SEBRING 4DR,4D,2009"
"53,21,43,129,CHRYSLER,SEBRING 4DR,4D,2010"
"     .,37,     .,14,CHRYSLER,SEBRING CONVERTIBLE,2D,2005"
"     .,12,21,103,CHRYSLER,SEBRING CONVERTIBLE,2D,2006"
"39,29,27,63,CHRYSLER,SEBRING CONVERTIBLE,2D,2008"
"59,20,58,27,CHRYSLER,SEBRING CONVERTIBLE,2D,2010"
"85,43,77,46,CHRYSLER,TOWN & COUNTRY,VAN,2015"
"75,52,85,46,CHRYSLER,TOWN & COUNTRY,VAN,2016"
"18,13,22,37,CHRYSLER/DODGE,TOWN & COUNTRY/GRAND CARAVAN,VAN,2005"
"25,10,25,73,CHRYSLER/DODGE,TOWN & COUNTRY/GRAND CARAVAN,VAN,2006"
"28,24,24,96,CHRYSLER/DODGE,TOWN & COUNTRY/GRAND CARAVAN,VAN,2007"
"31,22,50,131,CHRYSLER/DODGE,TOWN & COUNTRY/GRAND CARAVAN,VAN,2008"
"40,26,49,133,CHRYSLER/DODGE,TOWN & COUNTRY/GRAND CARAVAN,VAN,2009"
"47,27,52,83,CHRYSLER/DODGE,TOWN & COUNTRY/GRAND CARAVAN,VAN,2010"
"55,39,68,96,CHRYSLER/DODGE,TOWN & COUNTRY/GRAND CARAVAN,VAN,2011"
"60,38,61,89,CHRYSLER/DODGE,TOWN & COUNTRY/GRAND CARAVAN,VAN,2012"
"63,38,75,103,CHRYSLER/DODGE,TOWN & COUNTRY/GRAND CARAVAN,VAN,2013"
"74,43,70,95,CHRYSLER/DODGE,TOWN & COUNTRY/GRAND CARAVAN,VAN,2014"
"48,21,62,63,DODGE,AVENGER 4DR,4D,2008"
"29,33,56,71,DODGE,AVENGER 4DR,4D,2009"
"53,12,48,94,DODGE,AVENGER 4DR,4D,2010"
"48,28,43,106,DODGE,AVENGER 4DR,4D,2011"
"44,36,53,155,DODGE,AVENGER 4DR,4D,2012"
"79,41,66,151,DODGE,AVENGER 4DR,4D,2013"
"82,52,63,57,DODGE,AVENGER 4DR,4D,2014"
"30,18,37,68,DODGE,CALIBER 5DR,4D,2007"
"41,6,41,75,DODGE,CALIBER 5DR,4D,2008"
"43,19,51,116,DODGE,CALIBER 5DR,4D,2009"
"48,20,49,101,DODGE,CALIBER 5DR,4D,2010"
"58,17,44,55,DODGE,CALIBER 5DR,4D,2011"
"34,40,43,115,DODGE,CALIBER 5DR AWD,4D,2007"
"20,5,17,101,DODGE,CARAVAN,VAN,2005"
"21,24,28,102,DODGE,CARAVAN,VAN,2006"
"22,11,22,51,DODGE,CARAVAN,VAN,2007"
"50,64,66,72,DODGE,CHALLENGER 2DR,2D,2009"
"110,58,63,15,DODGE,CHALLENGER 2DR,2D,2010"
"     .,148,     .,     .,DODGE,CHALLENGER 2DR,2D,2014"
"183,143,169,31,DODGE,CHALLENGER 2DR,2D,2015"
"320,174,195,20,DODGE,CHALLENGER 2DR,2D,2016"
"354,361,335,85,DODGE,CHALLENGER 2DR,2D,2017"
"612,534,456,150,DODGE,CHALLENGER 2DR,2D,2018"
"     .,30,     .,     .,DODGE,CHALLENGER V8 2DR,2D,2008"
"23,32,28,4,DODGE,CHALLENGER V8 2DR,2D,2009"
"19,49,54,47,DODGE,CHALLENGER V8 2DR,2D,2010"
"38,34,     .,5,DODGE,CHALLENGER V8 2DR,2D,2011"
"87,69,     .,2,DODGE,CHALLENGER V8 2DR,2D,2012"
"111,88,     .,16,DODGE,CHALLENGER V8 2DR,2D,2013"
"117,105,     .,115,DODGE,CHALLENGER V8 2DR,2D,2014"
"51,62,96,24,DODGE,CHALLENGER V8 2DR,2D,2015"
"119,96,87,0,DODGE,CHALLENGER V8 2DR,2D,2016"
"170,127,97,95,DODGE,CHALLENGER V8 2DR,2D,2017"
"213,111,91,9,DODGE,CHALLENGER V8 2DR,2D,2018"
"138,193,166,46,DODGE,CHALLENGER V8 2DR,2D,2019"
"39,35,44,75,DODGE,CHARGER 4DR,4D,2006"
"44,27,60,70,DODGE,CHARGER 4DR,4D,2007"
"41,31,45,38,DODGE,CHARGER 4DR,4D,2008"
"63,33,63,126,DODGE,CHARGER 4DR,4D,2009"
"49,48,68,88,DODGE,CHARGER 4DR,4D,2010"
"104,60,77,18,DODGE,CHARGER 4DR,4D,2011"
"112,62,95,12,DODGE,CHARGER 4DR,4D,2012"
"132,50,106,76,DODGE,CHARGER 4DR,4D,2013"
"115,70,120,86,DODGE,CHARGER 4DR,4D,2014"
"154,80,149,463,DODGE,CHARGER 4DR,4D,2015"
"181,86,219,80,DODGE,CHARGER 4DR,4D,2016"
"292,195,183,117,DODGE,CHARGER 4DR,4D,2017"
"394,236,362,98,DODGE,CHARGER 4DR,4D,2018"
"339,211,283,172,DODGE,CHARGER 4DR,4D,2019"
"     .,     .,     .,30,DODGE,CHARGER 4DR AWD,4D,2010"
"151,129,     .,60,DODGE,CHARGER 4DR AWD,4D,2014"
"251,134,224,501,DODGE,CHARGER 4DR AWD,4D,2016"
"276,211,296,103,DODGE,CHARGER 4DR AWD,4D,2017"
"347,265,234,183,DODGE,CHARGER 4DR AWD,4D,2018"
"469,174,284,97,DODGE,CHARGER 4DR AWD,4D,2019"
"71,26,29,7,DODGE,CHARGER V8 4DR,4D,2006"
"55,18,     .,34,DODGE,CHARGER V8 4DR,4D,2007"
"274,230,213,71,DODGE,CHARGER V8 4DR,4D,2017"
"26,18,16,9,DODGE,DAKOTA 2WD,PU,2005"
"32,18,22,343,DODGE,DAKOTA 2WD,PU,2006"
"41,18,34,15,DODGE,DAKOTA 2WD,PU,2007"
"46,18,33,72,DODGE,DAKOTA 2WD,PU,2008"
"31,26,21,39,DODGE,DAKOTA 4WD,PU,2005"
"44,35,28,10,DODGE,DAKOTA 4WD,PU,2006"
"44,27,29,27,DODGE,DAKOTA 4WD,PU,2007"
"53,30,36,25,DODGE,DAKOTA 4WD,PU,2008"
"71,38,41,15,DODGE,DAKOTA 4WD,PU,2009"
"64,43,50,30,DODGE,DAKOTA 4WD,PU,2010"
"70,39,44,16,DODGE,DAKOTA 4WD,PU,2011"
"86,69,82,91,DODGE,DART 4DR,4D,2013"
"86,63,92,89,DODGE,DART 4DR,4D,2014"
"83,80,107,103,DODGE,DART 4DR,4D,2015"
"125,93,90,135,DODGE,DART 4DR,4D,2016"
"36,45,34,65,DODGE,DURANGO 4DR 4WD,SUV,2005"
"41,31,12,41,DODGE,DURANGO 4DR 4WD,SUV,2006"
"     .,48,39,38,DODGE,DURANGO 4DR 4WD,SUV,2007"
"119,116,75,56,DODGE,DURANGO 4DR 4WD,SUV,2011"
"69,102,78,50,DODGE,DURANGO 4DR 4WD,SUV,2012"
"104,130,112,41,DODGE,DURANGO 4DR 4WD,SUV,2013"
"94,117,94,121,DODGE,DURANGO 4DR 4WD,SUV,2014"
"133,99,106,67,DODGE,DURANGO 4DR 4WD,SUV,2015"
"135,129,125,264,DODGE,DURANGO 4DR 4WD,SUV,2016"
"133,137,126,113,DODGE,DURANGO 4DR 4WD,SUV,2017"
"114,131,167,47,DODGE,DURANGO 4DR 4WD,SUV,2018"
"89,166,105,63,DODGE,DURANGO 4DR 4WD,SUV,2019"
"144,117,184,117,DODGE,DURANGO 4DR 4WD,SUV,2020"
"183,477,128,59,DODGE,DURANGO 4DR 4WD,SUV,2021"
"99,646,163,96,DODGE,DURANGO 4DR 4WD,SUV,2022"
"73,44,81,99,DODGE,GRAND CARAVAN,VAN,2015"
"81,46,90,135,DODGE,GRAND CARAVAN,VAN,2016"
"96,60,90,85,DODGE,GRAND CARAVAN,VAN,2017"
"99,58,95,59,DODGE,GRAND CARAVAN,VAN,2018"
"113,62,105,96,DODGE,GRAND CARAVAN,VAN,2019"
"96,89,116,136,DODGE,GRAND CARAVAN,VAN,2020"
"38,31,45,114,DODGE,JOURNEY 4DR 2WD,SUV,2009"
"42,26,54,89,DODGE,JOURNEY 4DR 2WD,SUV,2010"
"48,33,49,114,DODGE,JOURNEY 4DR 2WD,SUV,2011"
"57,36,62,51,DODGE,JOURNEY 4DR 2WD,SUV,2012"
"65,35,70,67,DODGE,JOURNEY 4DR 2WD,SUV,2013"
"81,41,73,60,DODGE,JOURNEY 4DR 2WD,SUV,2014"
"81,43,92,245,DODGE,JOURNEY 4DR 2WD,SUV,2015"
"87,39,95,77,DODGE,JOURNEY 4DR 2WD,SUV,2016"
"91,56,94,146,DODGE,JOURNEY 4DR 2WD,SUV,2017"
"98,56,127,179,DODGE,JOURNEY 4DR 2WD,SUV,2018"
"56,33,24,70,DODGE,JOURNEY 4DR AWD,SUV,2009"
"51,43,58,107,DODGE,JOURNEY 4DR AWD,SUV,2010"
"75,42,74,136,DODGE,JOURNEY 4DR AWD,SUV,2011"
"79,50,72,79,DODGE,JOURNEY 4DR AWD,SUV,2012"
"82,43,63,58,DODGE,JOURNEY 4DR AWD,SUV,2013"
"84,55,93,176,DODGE,JOURNEY 4DR AWD,SUV,2014"
"90,75,71,140,DODGE,JOURNEY 4DR AWD,SUV,2015"
"93,72,94,48,DODGE,JOURNEY 4DR AWD,SUV,2016"
"102,59,117,110,DODGE,JOURNEY 4DR AWD,SUV,2017"
"126,86,134,57,DODGE,JOURNEY 4DR AWD,SUV,2018"
"52,36,35,42,DODGE,MAGNUM WAGON,WGN,2005"
"21,27,55,31,DODGE,MAGNUM WAGON,WGN,2006"
"     .,33,46,48,DODGE,MAGNUM WAGON,WGN,2007"
"27,13,34,137,DODGE,NEON/SX 2.0 4DR,4D,2005"
"28,32,38,78,DODGE,NITRO 4DR 4WD,SUV,2007"
"52,23,29,100,DODGE,NITRO 4DR 4WD,SUV,2008"
"60,76,33,84,DODGE,NITRO 4DR 4WD,SUV,2009"
"43,57,45,21,DODGE,NITRO 4DR 4WD,SUV,2010"
"23,33,15,5,DODGE,RAM 1500 2WD,PU,2005"
"     .,     .,29,13,DODGE,RAM 1500 2WD,PU,2006"
"     .,     .,16,6,DODGE,RAM 1500 2WD,PU,2007"
"     .,63,24,4,DODGE,RAM 1500 2WD,PU,2008"
"72,38,15,42,DODGE,RAM 1500 2WD,PU,2010"
"32,24,32,69,DODGE,RAM 1500 4WD,PU,2005"
"31,40,19,33,DODGE,RAM 1500 4WD,PU,2006"
"26,31,14,197,DODGE,RAM 1500 4WD,PU,2007"
"47,36,21,48,DODGE,RAM 1500 4WD,PU,2008"
"44,57,33,33,DODGE,RAM 1500 4WD,PU,2009"
"58,57,53,62,DODGE,RAM 1500 4WD,PU,2010"
"23,39,15,14,DODGE,RAM 2500 4WD,PU,2005"
"47,76,27,18,DODGE,RAM 2500 4WD,PU,2006"
"41,85,11,3,DODGE,RAM 2500 4WD,PU,2007"
"40,84,22,86,DODGE,RAM 2500 4WD,PU,2008"
"51,108,24,55,DODGE,RAM 2500 4WD,PU,2009"
"78,114,52,1,DODGE,RAM 2500 4WD,PU,2010"
"34,70,15,11,DODGE,RAM 3500 4WD,PU,2005"
"40,79,28,9,DODGE,RAM 3500 4WD,PU,2006"
"29,92,20,42,DODGE,RAM 3500 4WD,PU,2007"
"39,117,11,43,DODGE,RAM 3500 4WD,PU,2008"
"56,167,     .,6,DODGE,RAM 3500 4WD,PU,2009"
"63,180,28,26,DODGE,RAM 3500 4WD,PU,2010"
"82,35,60,116,FIAT,124 SPIDER,2D,2017"
"46,12,57,56,FIAT,500 2DR,2D,2012"
"56,10,61,103,FIAT,500 2DR,2D,2013"
"79,21,92,87,FIAT,500 2DR,2D,2014"
"53,37,71,68,FIAT,500 2DR,2D,2015"
"74,28,85,56,FIAT,500 2DR,2D,2016"
"46,23,78,70,FIAT,500C CABRIOLET,2D,2012"
"58,19,53,38,FIAT,500C CABRIOLET,2D,2013"
"47,35,51,49,FIAT,500C CABRIOLET,2D,2014"
"73,26,68,53,FIAT,500L 4DR,4D,2014"
"89,59,135,179,FIAT,500L 4DR,4D,2015"
"131,80,100,113,FIAT,500X 4DR AWD,4D,2016"
"125,86,91,111,FORD,BRONCO 4DR 4WD,SUV,2021"
"85,113,144,672,FORD,BRONCO 4DR 4WD,SUV,2022"
"81,121,93,67,FORD,BRONCO SPORT 4DR AWD,SUV,2021"
"97,114,115,91,FORD,BRONCO SPORT 4DR AWD,SUV,2022"
"96,111,131,44,FORD,BRONCO SPORT 4DR AWD,SUV,2023"
"151,35,114,132,FORD,C-MAX ENERGI 5DR,4D,2017"
"64,39,85,42,FORD,C-MAX HEV 5DR,4D,2013"
"107,64,67,9,FORD,C-MAX HEV 5DR,4D,2015"
"118,61,113,151,FORD,ECOSPORT 4DR 2WD,SUV,2018"
"139,74,84,56,FORD,ECOSPORT 4DR 2WD,SUV,2019"
"     .,     .,     .,120,FORD,ECOSPORT 4DR 2WD,SUV,2020"
"107,64,94,72,FORD,ECOSPORT 4DR 4WD,SUV,2018"
"159,63,118,63,FORD,ECOSPORT 4DR 4WD,SUV,2019"
"136,69,145,109,FORD,ECOSPORT 4DR 4WD,SUV,2020"
"138,69,114,50,FORD,ECOSPORT 4DR 4WD,SUV,2022"
"136,45,105,31,FORD,EDGE 4DR 2WD,SUV,2019"
"40,21,56,117,FORD,ESCAPE 4DR 2WD,SUV,2012"
"73,28,75,77,FORD,ESCAPE 4DR 2WD,SUV,2013"
"73,26,76,100,FORD,ESCAPE 4DR 2WD,SUV,2014"
"47,36,42,109,FORD,ESCAPE 4DR 4WD,SUV,2012"
"71,40,70,69,FORD,ESCAPE 4DR 4WD,SUV,2013"
"74,54,67,75,FORD,ESCAPE 4DR 4WD,SUV,2014"
"74,50,103,131,FORD,EXPLORER 4DR 2WD,SUV,2011"
"67,61,99,255,FORD,EXPLORER 4DR 2WD,SUV,2012"
"69,43,126,82,FORD,EXPLORER 4DR 2WD,SUV,2013"
"89,90,93,174,FORD,EXPLORER 4DR 2WD,SUV,2014"
"93,72,118,25,FORD,EXPLORER 4DR 2WD,SUV,2016"
"84,63,138,66,FORD,EXPLORER 4DR 2WD,SUV,2017"
"157,153,127,77,FORD,EXPLORER 4DR 2WD,SUV,2018"
"64,56,76,49,FORD,EXPLORER 4DR 4WD,SUV,2011"
"69,70,67,103,FORD,EXPLORER 4DR 4WD,SUV,2012"
"69,84,79,77,FORD,EXPLORER 4DR 4WD,SUV,2013"
"73,81,80,57,FORD,EXPLORER 4DR 4WD,SUV,2014"
"66,70,81,47,FORD,EXPLORER 4DR 4WD,SUV,2015"
"100,92,114,123,FORD,EXPLORER 4DR 4WD,SUV,2016"
"97,80,117,96,FORD,EXPLORER 4DR 4WD,SUV,2017"
"84,68,153,110,FORD,EXPLORER 4DR 4WD,SUV,2018"
"120,58,137,100,FORD,EXPLORER 4DR 4WD,SUV,2019"
"129,128,130,57,FORD,EXPLORER 4DR 4WD,SUV,2020"
"93,128,143,30,FORD,EXPLORER 4DR 4WD,SUV,2021"
"115,121,132,42,FORD,EXPLORER 4DR 4WD,SUV,2022"
"110,139,125,219,FORD,EXPLORER 4DR 4WD,SUV,2023"
"34,27,22,29,FORD,EXPLORER SPORT TRAC 4DR 4WD,PU,2005"
"33,20,40,50,FORD,EXPLORER SPORT TRAC 4DR 4WD,PU,2007"
"39,47,59,40,FORD,EXPLORER SPORT TRAC 4DR 4WD,PU,2008"
"82,33,65,29,FORD,EXPLORER SPORT TRAC 4DR 4WD,PU,2009"
"63,52,41,77,FORD,EXPLORER SPORT TRAC 4DR 4WD,PU,2010"
"14,29,15,19,FORD,F150 2WD,PU,2005"
"23,30,24,74,FORD,F150 2WD,PU,2006"
"22,12,24,38,FORD,F150 2WD,PU,2007"
"37,36,22,38,FORD,F150 2WD,PU,2008"
"32,28,22,113,FORD,F150 2WD,PU,2009"
"33,23,39,39,FORD,F150 2WD,PU,2010"
"36,38,42,37,FORD,F150 2WD,PU,2011"
"46,27,37,19,FORD,F150 2WD,PU,2012"
"46,43,43,63,FORD,F150 2WD,PU,2013"
"43,40,26,23,FORD,F150 2WD,PU,2014"
"85,37,76,20,FORD,F150 2WD,PU,2015"
"64,77,84,61,FORD,F150 2WD,PU,2016"
"91,74,79,41,FORD,F150 2WD,PU,2017"
"89,92,91,50,FORD,F150 2WD,PU,2018"
"74,91,69,18,FORD,F150 2WD,PU,2019"
"22,34,25,39,FORD,F150 4WD,PU,2005"
"30,24,20,166,FORD,F150 4WD,PU,2006"
"34,45,24,25,FORD,F150 4WD,PU,2007"
"30,33,25,26,FORD,F150 4WD,PU,2008"
"31,53,30,30,FORD,F150 4WD,PU,2009"
"32,40,34,44,FORD,F150 4WD,PU,2010"
"42,44,38,58,FORD,F150 4WD,PU,2011"
"47,73,34,37,FORD,F150 4WD,PU,2012"
"47,60,39,43,FORD,F150 4WD,PU,2013"
"53,58,46,62,FORD,F150 4WD,PU,2014"
"66,79,51,33,FORD,F150 4WD,PU,2015"
"71,73,62,40,FORD,F150 4WD,PU,2016"
"76,78,69,64,FORD,F150 4WD,PU,2017"
"89,111,85,57,FORD,F150 4WD,PU,2018"
"86,139,78,44,FORD,F150 4WD,PU,2019"
"96,162,91,42,FORD,F150 4WD,PU,2020"
"112,154,112,58,FORD,F150 4WD,PU,2021"
"115,179,104,72,FORD,F150 4WD,PU,2022"
"104,242,111,74,FORD,F150 4WD,PU,2023"
"137,145,71,40,FORD,F150 HEV 4WD,PU,2021"
"99,147,134,39,FORD,F150 HEV 4WD,PU,2022"
"144,2164,     .,278,FORD,F150 RAPTOR 4WD,PU,2018"
"135,2756,     .,4,FORD,F150 RAPTOR 4WD,PU,2019"
"32,211,13,289,FORD,F250 SD 4WD,PU,2005"
"54,142,22,36,FORD,F250 SD 4WD,PU,2006"
"     .,355,47,127,FORD,F250 SD 4WD,PU,2007"
"67,71,20,137,FORD,F250 SD 4WD,PU,2008"
"93,58,17,0,FORD,F250 SD 4WD,PU,2009"
"39,95,13,20,FORD,F250 SD 4WD,PU,2010"
"67,95,13,6,FORD,F250 SD 4WD,PU,2011"
"66,71,36,33,FORD,F250 SD 4WD,PU,2012"
"65,100,30,190,FORD,F250 SD 4WD,PU,2013"
"46,125,43,3,FORD,F250 SD 4WD,PU,2014"
"52,91,47,4,FORD,F250 SD 4WD,PU,2015"
"30,104,29,0,FORD,F250 SD 4WD,PU,2016"
"61,92,53,21,FORD,F250 SD 4WD,PU,2017"
"85,117,46,0,FORD,F250 SD 4WD,PU,2018"
"113,158,74,19,FORD,F250 SD 4WD,PU,2019"
"101,135,39,21,FORD,F250 SD 4WD,PU,2020"
"107,267,40,8,FORD,F250 SD 4WD,PU,2021"
"95,211,61,4,FORD,F250 SD 4WD,PU,2022"
"60,375,18,22,FORD,F350 SD 4WD,PU,2005"
"58,292,26,38,FORD,F350 SD 4WD,PU,2006"
"45,415,32,2,FORD,F350 SD 4WD,PU,2007"
"59,114,16,8,FORD,F350 SD 4WD,PU,2008"
"85,140,19,4,FORD,F350 SD 4WD,PU,2009"
"64,153,20,27,FORD,F350 SD 4WD,PU,2010"
"43,91,34,5,FORD,F350 SD 4WD,PU,2011"
"54,134,55,13,FORD,F350 SD 4WD,PU,2012"
"45,128,45,6,FORD,F350 SD 4WD,PU,2013"
"72,132,33,18,FORD,F350 SD 4WD,PU,2014"
"85,183,88,3,FORD,F350 SD 4WD,PU,2015"
"68,149,41,11,FORD,F350 SD 4WD,PU,2016"
"99,154,89,8,FORD,F350 SD 4WD,PU,2017"
"94,245,42,3,FORD,F350 SD 4WD,PU,2018"
"94,306,44,57,FORD,F350 SD 4WD,PU,2019"
"76,226,81,14,FORD,F350 SD 4WD,PU,2020"
"92,281,58,2,FORD,F350 SD 4WD,PU,2021"
"105,386,63,7,FORD,F350 SD 4WD,PU,2022"
"54,34,65,93,FORD,FIESTA 4DR,4D,2011"
"62,28,58,58,FORD,FIESTA 4DR,4D,2012"
"82,62,73,89,FORD,FIESTA 4DR,4D,2013"
"81,33,81,174,FORD,FIESTA 4DR,4D,2014"
"74,22,68,34,FORD,FIESTA 4DR,4D,2015"
"114,49,113,71,FORD,FIESTA 4DR,4D,2016"
"43,22,50,44,FORD,FIESTA 5DR,4D,2011"
"57,20,50,16,FORD,FIESTA 5DR,4D,2012"
"67,33,63,44,FORD,FIESTA 5DR,4D,2013"
"77,23,52,78,FORD,FIESTA 5DR,4D,2014"
"58,37,66,88,FORD,FIESTA 5DR,4D,2015"
"104,39,108,91,FORD,FIESTA 5DR,4D,2016"
"105,45,106,140,FORD,FIESTA 5DR,4D,2017"
"42,36,42,99,FORD,FLEX 4DR 2WD,SUV,2009"
"53,51,72,67,FORD,FLEX 4DR AWD,SUV,2009"
"47,17,24,20,FORD,FOCUS 2DR,2D,2008"
"     .,22,54,103,FORD,FOCUS 2DR,2D,2009"
"42,10,46,83,FORD,FOCUS 4DR,4D,2008"
"39,18,41,140,FORD,FOCUS 4DR,4D,2009"
"39,16,47,87,FORD,FOCUS 4DR,4D,2010"
"41,18,44,40,FORD,FOCUS 4DR,4D,2011"
"68,25,80,46,FORD,FOCUS 4DR,4D,2012"
"72,22,76,93,FORD,FOCUS 4DR,4D,2013"
"74,38,83,54,FORD,FOCUS 4DR,4D,2014"
"106,43,90,61,FORD,FOCUS 4DR,4D,2015"
"118,69,93,86,FORD,FOCUS 4DR,4D,2016"
"115,77,100,74,FORD,FOCUS 4DR,4D,2017"
"139,44,142,122,FORD,FOCUS 4DR,4D,2018"
"68,34,66,53,FORD,FOCUS 5DR,4D,2012"
"65,31,64,88,FORD,FOCUS 5DR,4D,2013"
"71,38,64,84,FORD,FOCUS 5DR,4D,2014"
"113,56,92,78,FORD,FOCUS 5DR,4D,2015"
"132,43,95,77,FORD,FOCUS 5DR,4D,2016"
"127,90,116,35,FORD,FOCUS 5DR,4D,2017"
"132,54,115,103,FORD,FOCUS 5DR,4D,2018"
"200,130,     .,17,FORD,FOCUS RS 5DR AWD,4D,2017"
"95,91,111,341,FORD,FOCUS ST 5DR,4D,2013"
"144,98,103,61,FORD,FOCUS ST 5DR,4D,2014"
"77,147,137,67,FORD,FOCUS ST 5DR,4D,2015"
"131,89,187,73,FORD,FOCUS ST 5DR,4D,2016"
"235,139,     .,481,FORD,FOCUS ST 5DR,4D,2018"
"31,17,42,439,FORD,FOCUS ZX3 3DR,2D,2007"
"16,14,25,54,FORD,FOCUS ZX4 4DR,4D,2005"
"33,11,33,58,FORD,FOCUS ZX4 4DR,4D,2006"
"28,8,48,101,FORD,FOCUS ZX4 4DR,4D,2007"
"25,9,32,33,FORD,FOCUS ZX5 5DR,4D,2005"
"30,10,27,65,FORD,FOCUS ZX5 5DR,4D,2006"
"27,11,20,72,FORD,FOCUS ZX5 5DR,4D,2007"
"30,7,19,52,FORD,FOCUS ZXW WAGON,WGN,2005"
"20,13,30,61,FORD,FOCUS ZXW WAGON,WGN,2006"
"17,10,23,33,FORD,FOCUS ZXW WAGON,WGN,2007"
"     .,     .,     .,7,FORD,FREESTYLE WAGON,SUV,2005"
"     .,     .,     .,107,FORD,FREESTYLE WAGON,SUV,2006"
"     .,22,30,101,FORD,FREESTYLE WAGON,SUV,2007"
"     .,36,23,446,FORD,FREESTYLE WAGON AWD,SUV,2005"
"     .,28,32,53,FORD,FREESTYLE WAGON AWD,SUV,2006"
"41,23,31,57,FORD,FREESTYLE WAGON AWD,SUV,2007"
"145,72,229,47,FORD,FUSION ENERGI 4DR,4D,2017"
"146,69,219,127,FORD,FUSION ENERGI 4DR,4D,2018"
"93,36,91,125,FORD,FUSION HEV 4DR,4D,2010"
"102,94,121,72,FORD,MAVERICK AWD,PU,2022"
"56,26,56,95,FORD,MUSTANG 2DR,2D,2005"
"47,15,39,32,FORD,MUSTANG 2DR,2D,2006"
"50,30,58,40,FORD,MUSTANG 2DR,2D,2007"
"62,33,69,47,FORD,MUSTANG 2DR,2D,2008"
"57,69,60,39,FORD,MUSTANG 2DR,2D,2010"
"70,73,73,15,FORD,MUSTANG 2DR,2D,2011"
"58,38,51,48,FORD,MUSTANG 2DR,2D,2012"
